"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"11","TNF signaling pathway","102/110",1.71389330718484e-12,4.79890126011756e-11,0,0,7.26084983823878,196.712784773662,"ATF2;CSF1;TNF;ICAM1;RPS6KA4;RPS6KA5;CREB3L1;AKT2;CREB3L2;AKT3;AKT1;MAP3K8;MAP3K7;JUNB;MAP3K5;MAP2K3;MAP2K4;MAP2K1;ATF4;PIK3R3;PIK3R2;PIK3R1;SOCS3;BAG4;RIPK1;FADD;MAP2K7;MAP2K6;JUN;VCAM1;JAG1;MLKL;LIF;SELE;NFKB1;NFKBIA;CXCL10;IL6;BCL3;TAB3;TAB2;TAB1;MAP3K14;TRADD;TNFAIP3;PIK3CD;PIK3CB;CXCL3;CXCL2;CX3CL1;CXCL5;IKBKB;CASP7;CASP8;CASP10;CASP3;IKBKG;DNM1L;EDN1;CHUK;MMP3;TRAF2;TRAF1;FOS;TNFRSF1B;MMP9;TNFRSF1A;MMP14;CREB1;PIK3CA;TRAF3;IL1B;IRF1;TRAF5;PGAM5;BIRC2;CREB5;BIRC3;CEBPB;ATF6B;NOD2;PTGS2;RELA;MAPK9;MAPK8;CCL5;CCL2;MAPK1;MAPK3;CCL20;IFNB1;DAB2IP;VEGFC;CFLAR;MAPK14;MAPK12;MAPK13;MAPK10;MAPK11;ITCH;FAS;IL18R1"
"12","Human immunodeficiency virus 1 infection","181/212",2.04282824392078e-12,5.24325915939667e-11,0,0,3.33521338886413,89.7728911113169,"CALML6;CALML3;CALML4;TNF;CRKL;DCAF1;TBK1;AKT2;CFL2;CHEK1;AKT3;CFL1;AP1S2;AP1S1;AKT1;AP1S3;BTRC;B2M;MAP3K7;SKP1;PDIA3;MAP2K3;MAP2K1;MAP2K2;PRKCB;FBXW11;AP1B1;HLA-B;TAP2;HLA-C;TAP1;PRKCA;HLA-A;HLA-F;CDC25C;HLA-G;HLA-E;RBX1;RAF1;CUL5;PXN;CUL1;ITPR1;PIK3R3;ITPR2;PIK3R2;ITPR3;PIK3R1;CCNB2;PPP3R1;CCNB1;PPP3R2;IRAK1;PLCG2;RIPK1;PLCG1;FADD;MAP2K7;MAP2K6;APOBEC3C;APOBEC3D;JUN;APOBEC3F;APOBEC3G;NFATC3;NFATC2;GNG12;GNG11;PTK2;NFKB1;BST2;NFKBIA;GNAO1;GNB2;GNAQ;GNB1;GNB4;BCL2;CDK1;GNB3;CYCS;CALM3;ATM;TAB2;CALR;GNB5;TAB1;CALM1;CALM2;APOBEC3A;MYD88;APOBEC3B;ATR;BCL2L1;TRADD;CGAS;PIK3CD;CD3G;FASLG;PIK3CB;CD3D;IKBKB;CASP9;PPP3CA;PPP3CB;PPP3CC;CASP8;AP1G2;TRIM5;AP1G1;CASP3;RAC2;RAC3;RAC1;ELOC;IKBKG;CCR5;HRAS;CHUK;TRAF2;FOS;IRAK4;TNFRSF1B;TNFRSF1A;TAPBP;DDB1;PIK3CA;IRF3;TRAF6;TRAF5;TLR4;CRK;TLR2;GNAI3;CXCR4;RNF7;SAMHD1;GNAI1;RELA;GNAI2;MAPK9;NRAS;PAK1;GNG3;MAPK8;GNG2;GNG5;GNG4;GNG7;GNA11;PAK6;GNG8;PTK2B;MAPK1;BAK1;BID;PAK3;PAK2;PAK5;PAK4;MAPK3;IFNB1;BAD;LIMK1;MAPK14;MAPK12;MTOR;MAPK13;MAPK10;CUL4A;MAPK11;CD4;WEE1;WEE2;RPS6KB1;RPS6KB2;FAS;BAX;KRAS;CD247;CUL4B"
"13","Human T-cell leukemia virus 1 infection","186/219",2.81933800315796e-12,6.67966234594348e-11,0,0,3.22001169852469,85.6346623262289,"RB1;ATF2;CRTC2;SPI1;CRTC3;TRRAP;CRTC1;BUB1B;ELK1;TNF;ETS1;ETS2;ICAM1;CDC20;ELK4;CCND3;ZFP36;CDC23;CCND2;KAT5;CCND1;PTTG1;CREB3L1;CHEK2;MYC;AKT2;CHEK1;CREB3L2;AKT3;CDC27;AKT1;EP300;PRKACA;HLA-DOA;B2M;PRKACB;HLA-DOB;MAP2K4;MAP2K1;MAP2K2;ANAPC7;IL1R1;IL1R2;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;HLA-E;ADCY9;CCNE2;CCNE1;TBPL2;VDAC3;TBPL1;VDAC2;ANAPC4;VDAC1;TLN1;TP53;ANAPC1;ATF4;ANAPC2;PIK3R3;PIK3R2;PIK3R1;ANAPC10;ANAPC11;CCNB2;PPP3R1;PPP3R2;TERT;HLA-DQA1;STAT5A;SMAD2;STAT5B;EGR1;FDPS;CREBBP;EGR2;HLA-DRB5;JUN;TGFB2;SMAD4;TGFB1;SMAD3;TGFB3;NFATC3;NFATC2;NFKB1;NFKB2;FOSL1;NFKBIA;DLG1;IL6;CDK4;CDK2;HLA-DRA;ATM;CALR;TCF3;MAP3K14;HLA-DRB1;ATR;BCL2L1;NRP1;CDKN1A;SLC2A1;PTEN;PIK3CD;CD3G;TNFRSF13C;PIK3CB;ITGAL;CD3D;IKBKB;POLB;PPP3CA;PPP3CB;PPP3CC;XPO1;TSPO;IKBKG;HRAS;JAK3;HLA-DPA1;JAK1;MMP7;TBP;CHUK;FOS;TGFBR1;TNFRSF1A;TGFBR2;CCNA2;KAT2B;CCNA1;KAT2A;CREB1;PIK3CA;ESPL1;CANX;SLC25A5;SLC25A4;CREB5;SLC25A6;VAC14;ATF6B;SRF;ADCY3;XIAP;ADCY2;ADCY1;IL2RG;ADCY7;ADCY6;RELA;ADCY5;MAPK9;NRAS;MAPK8;E2F1;E2F2;MAPK1;E2F3;MSX1;BUB3;MAPK3;RANBP1;MAP3K3;CDKN2B;RANBP3;CDKN2C;MAP3K1;CDKN2A;NFYB;MAPK10;CD4;IL2RA;IL2RB;BAX;KRAS;SLC25A31;LTBR;RAN;MAD2L1"
"14","Hippo signaling pathway","141/160",3.18829790529745e-12,7.01425539165438e-11,0,0,4.23271372986844,112.046425046515,"PATJ;WWC1;SERPINE1;PPP2R2A;FZD10;FGF1;ACTB;AMOT;ACTG1;PPP1CB;SOX2;PPP1CC;CCND3;RASSF1;CCND2;RASSF2;CCND1;PPP2R1B;PPP2R1A;CDH1;RASSF4;MYC;RASSF6;CCN2;BTRC;PRKCI;FBXW11;WNT5A;SCRIB;CSNK1D;CSNK1E;FRMD6;PARD3;AJUBA;LLGL1;LLGL2;TCF7;PRKCZ;SAV1;STK3;DVL1;TP53BP2;DVL2;DVL3;WNT1;WNT2;WNT4;FZD1;SMAD2;WWTR1;SMAD1;TGFB2;WNT10A;FZD3;SMAD4;TGFB1;SMAD3;FZD2;FZD5;TGFB3;FZD4;WNT3A;FZD7;FZD6;FZD9;BMP7;GDF7;SMAD7;MOB1B;BMP4;MOB1A;DLG1;BMP2;DLG2;DLG3;DLG4;ID2;ID1;SNAI2;DCHS1;FAT4;NF2;BMPR1B;TP73;BMPR1A;YWHAE;GSK3B;WNT2B;BMPR2;YWHAB;LIMD1;AREG;BBC3;GLI2;YWHAQ;AMH;TEAD1;YWHAG;TEAD2;YWHAH;TEAD3;TEAD4;APC2;AXIN1;WNT9B;AXIN2;WNT9A;WNT16;YWHAZ;TGFBR1;TGFBR2;LATS1;LATS2;BIRC5;BIRC2;YAP1;CRB2;LEF1;PARD6G;WNT8B;NKD1;PPP2CA;PPP2CB;PARD6B;PAK1;WNT11;CTNNA1;CTNNA3;TCF7L2;WNT7B;BMP8A;BMP8B;WNT7A;MPP5;WTIP;PPP1CA;APC;PPP2R2C;PPP2R2B;PPP2R2D;CTNNB1"
"15","Colorectal cancer","82/86",3.96995471846698e-12,8.1516403552522e-11,0,0,11.6623729614748,306.16372215827,"GSK3B;CDKN1A;ARAF;PIK3CD;PIK3CB;AREG;BBC3;CASP9;CCND1;MYC;AKT2;CASP3;AKT3;RAC2;AKT1;RAC3;POLK;RAC1;HRAS;APPL1;APC2;MAP2K1;MAP2K2;DCC;AXIN1;AXIN2;FOS;RHOA;TGFBR1;EREG;TGFBR2;DDB2;MSH6;MSH2;PIK3CA;MSH3;BIRC5;RAF1;SOS1;SOS2;TP53;RALA;LEF1;TCF7;PIK3R3;TGFA;PIK3R2;PIK3R1;EGFR;MAPK9;NRAS;MAPK8;BCL2L11;MAPK1;PMAIP1;BAK1;RALGDS;MAPK3;SMAD2;TCF7L2;TGFB2;JUN;SMAD4;TGFB1;SMAD3;EGF;TGFB3;BAD;GADD45A;BRAF;MLH1;MTOR;MAPK10;APC;RPS6KB1;RPS6KB2;BCL2;BAX;CYCS;CTNNB1;KRAS;GRB2"
"16","mTOR signaling pathway","134/152",1.03878037542057e-11,1.99965222268461e-10,0,0,4.24429326090587,107.339826384063,"IRS1;FZD10;TNF;IGF1R;RPS6KA3;STK11;RPS6KA6;DEPTOR;AKT2;RPS6KA2;AKT3;SESN2;RPS6KA1;GRB10;AKT1;ATP6V1E1;SKP2;ATP6V1E2;MAP2K1;ATP6V1G1;MAP2K2;ATP6V1G2;PRKCB;RPS6;WNT5A;TSC1;PRKCA;RRAGA;CLIP1;RRAGC;RRAGB;RRAGD;DDIT4;ULK2;ULK1;RAF1;TELO2;ATP6V1A;SEH1L;MAPKAP1;NPRL3;PIK3R3;PIK3R2;PIK3R1;DVL1;EIF4EBP1;DVL2;ATP6V1H;DVL3;SLC38A9;WNT1;ATP6V1D;WNT2;ATP6V1C1;ATP6V1F;WNT4;FZD1;WNT10A;FZD3;FZD2;WDR59;FZD5;FZD4;WNT3A;INSR;FZD7;FZD6;FZD9;BRAF;IGF1;RHEB;GRB2;GSK3B;WNT2B;PTEN;PIK3CD;PIK3CB;IKBKB;RPTOR;FLCN;RNF152;HRAS;SEC13;MIOS;CHUK;STRADA;PDPK1;STRADB;WNT9B;WNT9A;WNT16;RHOA;TTI1;TNFRSF1A;SLC7A5;PIK3CA;AKT1S1;ATP6V1B2;EIF4E2;DEPDC5;SGK1;SOS1;SOS2;ATP6V1B1;PRKAA1;PRKAA2;CAB39;LRP5;WNT8B;SLC3A2;LRP6;NRAS;WNT11;MAPK1;RICTOR;FNIP1;ATP6V1G3;FNIP2;EIF4E;EIF4B;MAPK3;WNT7B;WNT7A;CASTOR1;MTOR;RPS6KB1;CASTOR2;RPS6KB2;KRAS;LAMTOR2;LAMTOR1;LPIN1;LAMTOR4;LAMTOR3"
"17","MAPK signaling pathway","241/295",1.11633122854707e-11,2.02252951995587e-10,0,0,2.55336743317436,64.3918116659707,"ATF2;ARAF;ELK1;CRKL;ELK4;RPS6KA4;RPS6KA3;RPS6KA6;RPS6KA5;MYC;AKT2;RPS6KA2;AKT3;STMN1;RPS6KA1;KDR;AKT1;PRKACA;PRKACB;MEF2C;IL1R1;PRKCB;CACNA2D1;PRKCA;CACNA2D4;MAPK8IP2;MAPK8IP3;MAPK8IP1;EREG;DDIT3;TP53;EPHA2;ATF4;PDGFB;PDGFA;TGFA;NLK;PPP3R1;PPP3R2;RRAS;PDGFC;NGFR;JUN;JUND;GADD45A;INSR;IGF2;NFATC3;BRAF;IGF1;GNG12;PPP5C;GRB2;AREG;IKBKB;PPP3CA;PPP3CB;PPP3CC;MECOM;RAC2;RAC3;RAC1;IKBKG;HRAS;DUSP4;DUSP5;MAP4K2;DUSP2;DUSP3;DUSP1;RRAS2;FOS;DUSP8;DUSP9;DUSP6;DUSP7;IL1A;MRAS;IL1B;JMJD7-PLA2G4B;KIT;RAPGEF2;MAPT;RELA;EGFR;NRAS;PAK1;FLNA;FLNB;FLNC;PAK2;MAP4K3;MAP4K4;MAP3K2;MAP3K3;MAP3K1;VEGFB;VEGFC;VEGFA;KITLG;TAOK3;TAOK1;TAOK2;FAS;LAMTOR3;HSPA1B;HSPA1A;CSF1;IL1RAP;FGF1;TNF;FGF2;IGF1R;FGF5;FGF7;FGF9;MAP3K8;MAP3K7;MAP3K4;MAP3K5;PDGFRB;MAP2K3;PDGFRA;MAP2K4;MAP2K1;MAP2K2;PGF;CDC25B;CACNB1;CACNB2;CACNB4;MAPKAPK3;MAPKAPK2;MAPKAPK5;RAF1;CSF1R;MAX;CACNA1B;CACNA1A;CACNA1C;EFNA5;STK4;CACNA1E;RASGRP1;CACNA1H;RASGRP3;STK3;RAP1B;CACNA1I;RAP1A;IRAK1;MAP3K20;MAP2K7;FGF23;MAP2K5;FGF21;MAP2K6;HSPA8;TGFB2;TGFB1;TGFB3;BDNF;HSPA6;HSPA2;NFKB1;NFKB2;EFNA1;NR4A1;EFNA3;EFNA2;FGF19;NF1;TAB2;TAB1;FGFR4;MAP3K13;MAP3K14;FGFR3;MYD88;MAP3K11;FGFR2;FGFR1;FGF10;MAP3K12;FLT1;FLT3;TRADD;RASGRF2;FLT4;RASGRF1;HSPB1;FASLG;ARRB1;ARRB2;DUSP16;DUSP10;CASP3;PLA2G4D;CHUK;PLA2G4E;PLA2G4B;PLA2G4A;TRAF2;IRAK4;TGFBR1;TNFRSF1A;TGFBR2;PPM1A;PPM1B;TRAF6;RASA1;RASA2;SOS1;SOS2;MET;CRK;SRF;CDC42;CACNG7;MAPK9;CACNG8;MAPK8;MAPK7;ERBB3;ERBB4;MKNK2;ERBB2;GNA12;MAPK1;CACNG1;CACNG2;MAPK3;ANGPT4;NTRK2;EGF;MAPK14;MAPK12;MAPK13;MAPK10;MAPK11;KRAS"
"18","Chronic myeloid leukemia","73/76",2.05576811927529e-11,3.51764767075993e-10,0,0,13.8352490421456,340.454854107533,"RB1;CDKN1A;CDKN1B;ARAF;PIK3CD;PIK3CB;CRKL;IKBKB;MECOM;CCND1;MYC;AKT2;AKT3;AKT1;POLK;IKBKG;HRAS;MAP2K1;MAP2K2;CHUK;GAB2;TGFBR1;RUNX1;TGFBR2;DDB2;BCR;PIK3CA;RAF1;SOS1;SOS2;TP53;CRK;SHC4;HDAC2;SHC3;CTBP2;SHC1;HDAC1;CTBP1;PIK3R3;PIK3R2;PIK3R1;CBL;RELA;NRAS;E2F1;ABL1;E2F2;MAPK1;E2F3;BAK1;MAPK3;STAT5A;STAT5B;TGFB2;SMAD4;TGFB1;SMAD3;TGFB3;BAD;CDKN2A;GADD45A;PTPN11;BRAF;NFKB1;NFKBIA;CDK6;CDK4;MDM2;BAX;KRAS;GRB2;BCL2L1"
"19","Focal adhesion","169/199",2.83520767055907e-11,4.5960208554326e-10,0,0,3.21528108308213,78.0873479617694,"ITGA2B;TNC;ELK1;ACTB;ARHGAP35;MYLK3;CRKL;MYLK;ACTG1;IGF1R;MYLK4;PPP1CB;COMP;PPP1CC;CCND3;CCND2;CCND1;AKT2;AKT3;KDR;CAPN2;AKT1;TNR;PDGFRB;PDGFRA;MAP2K1;PRKCB;ACTN1;PRKCA;ACTN4;PGF;MYL5;COL4A2;COL4A1;MYL2;COL4A4;COL4A3;COL4A6;COL4A5;TLN1;RAF1;MYL9;VCL;SHC4;SHC3;SHC1;PXN;PDGFB;PDGFA;PIK3R3;PIK3R2;PIK3R1;MYL12A;MYL12B;RAP1B;RAP1A;PDGFC;PIP5K1C;VASP;JUN;CAV2;CAV1;FN1;BRAF;PARVA;IGF1;PARVB;PTK2;COL1A1;DIAPH1;COL1A2;PARVG;ITGA10;ITGA11;COL9A1;BCL2;GRB2;COL9A2;ITGB1;GSK3B;FLT1;ITGB5;LAMC3;FLT4;ITGB3;RASGRF1;PTEN;ILK;PIK3CD;LAMC2;PIK3CB;LAMC1;ARHGAP5;RAC2;RAC3;ITGB8;ITGAV;RAC1;HRAS;VAV3;PPP1R12A;ITGA4;VWF;ITGA3;PDPK1;ITGA2;ITGA1;RHOA;VAV2;PIK3CA;COL6A2;COL6A1;RAPGEF1;ITGA8;COL6A3;ITGA7;ITGA6;COL6A5;ITGA5;PPP1R12B;SOS1;PPP1R12C;SOS2;DOCK1;MET;CRK;BIRC2;BIRC3;ITGA9;LAMA5;ROCK1;LAMA2;ROCK2;SRC;LAMA4;XIAP;THBS2;THBS1;EGFR;THBS4;CDC42;MAPK9;PAK1;MAPK8;ERBB2;SPP1;FLNA;PAK6;MAPK1;FLNB;FYN;FLNC;PAK3;PAK2;PAK5;PAK4;MAPK3;EGF;BAD;LAMB2;VEGFB;VEGFC;LAMB1;VEGFA;PPP1CA;MAPK10;ZYX;CTNNB1;BCAR1"
"20","Pancreatic cancer","72/75",3.10037941253391e-11,4.77458429530222e-10,0,0,13.6446508698733,330.158409925942,"RB1;CDKN1A;ARAF;PIK3CD;PIK3CB;BRCA2;CASP9;IKBKB;CCND1;AKT2;AKT3;RAC2;AKT1;RAC3;POLK;RAC1;IKBKG;JAK1;RALBP1;MAP2K1;CHUK;TGFBR1;TGFBR2;DDB2;PIK3CA;RAF1;TP53;ARHGEF6;RALA;PIK3R3;TGFA;PIK3R2;PIK3R1;PLD1;RELA;EGFR;CDC42;MAPK9;MAPK8;ERBB2;E2F1;E2F2;MAPK1;E2F3;BAK1;RALGDS;MAPK3;SMAD2;TGFB2;SMAD4;TGFB1;SMAD3;EGF;TGFB3;BAD;STAT1;CDKN2A;GADD45A;STAT3;BRAF;NFKB1;MTOR;VEGFA;MAPK10;CDK6;RAD51;RPS6KB1;CDK4;RPS6KB2;BAX;KRAS;BCL2L1"
"21","Protein processing in endoplasmic reticulum","143/165",3.96619578776301e-11,5.81708715538575e-10,0,0,3.70642020265991,88.7710938113668,"ERO1A;ERO1B;UBE2D4;TUSC3;UBE2D2;UBE2D3;UBE2D1;CAPN2;CAPN1;SEC62;SIL1;MAP3K5;SEC63;SKP1;PDIA3;FBXO2;DNAJB12;MOGS;YOD1;UBE4B;PDIA6;RBX1;ERN1;SELENOS;DDIT3;DNAJB11;ERP29;PLAA;PREB;ATF6;ATF4;VCP;SAR1A;RPN2;SAR1B;HSPA4L;RPN1;SEL1L;CUL1;UBE2J2;HSP90B1;UBE2J1;ATXN3;HSPH1;BAG2;BAG1;SSR1;MAP2K7;TXNDC5;SEC31A;EDEM3;HSPA8;XBP1;HSPA5;EDEM1;EIF2AK1;HSPA6;EIF2AK3;EIF2AK2;EIF2AK4;HSPA2;EIF2S1;NSFL1C;NPLOC4;DNAJC10;STT3A;BCL2;HYOU1;STT3B;CALR;RNF185;NFE2L2;TRAM1;HSP90AB1;PRKCSH;NGLY1;HERPUD1;SEC61A2;SEC61A1;MAN1A2;UFD1;MAN1A1;SEC13;HSP90AA1;SSR4;SSR2;SSR3;TRAF2;RAD23A;RAD23B;CKAP4;DDOST;DNAJC3;DNAJC1;DAD1;DNAJC5;CANX;CRYAA;PRKN;PPP1R15A;SEC23A;ATF6B;DERL3;DERL1;DERL2;RRBP1;DNAJB2;DNAJB1;ERLEC1;LMAN1;MAPK9;MAPK8;GANAB;OS9;LMAN2;MAN1C1;UBQLN1;BAK1;UGGT2;SEC23B;UGGT1;UBQLN4;UBQLN2;BCAP31;MBTPS1;SEC24B;SEC24A;AMFR;SYVN1;UBE2G1;UBE2G2;SVIP;MAPK10;DNAJA1;DNAJA2;BAX;STUB1;P4HB;SEC24D;SEC24C;HSPA1B;MBTPS2;HSPA1A"
"22","ErbB signaling pathway","80/85",5.61411338793656e-11,7.85975874311118e-10,0,0,9.09964552973612,214.780319749761,"GSK3B;CDKN1A;CDKN1B;ARAF;PIK3CD;CBLB;PIK3CB;AREG;ELK1;CRKL;MYC;AKT2;AKT3;NCK2;AKT1;HRAS;NCK1;MAP2K4;MAP2K1;MAP2K2;PRKCB;GAB1;NRG1;PRKCA;NRG2;EREG;BTC;PIK3CA;NRG4;RAF1;SOS1;SOS2;CRK;HBEGF;SHC4;CAMK2D;SHC3;SHC1;SRC;CAMK2A;PIK3R3;TGFA;PIK3R2;PIK3R1;CBL;EGFR;MAPK9;NRAS;PAK1;MAPK8;ERBB3;ERBB4;ERBB2;EIF4EBP1;ABL1;PLCG2;PAK6;ABL2;MAPK1;PLCG1;PAK3;MAP2K7;PAK2;CAMK2G;PAK5;PAK4;MAPK3;STAT5A;STAT5B;JUN;EGF;BAD;BRAF;MTOR;PTK2;MAPK10;RPS6KB1;RPS6KB2;KRAS;GRB2"
"23","FoxO signaling pathway","117/132",9.58406619476632e-11,1.28343147303827e-09,0,0,4.44288197187549,102.489885582067,"IRS1;ARAF;FBXO25;IRS4;IRS2;IGF1R;STK11;CCND2;CCND1;AKT2;AKT3;TNFSF10;AKT1;EP300;SKP2;RAG1;GABARAPL2;USP7;PRKAB2;GABARAPL1;MAP2K1;G6PC;MAP2K2;CSNK1E;PRKAB1;ATG12;RAF1;FOXG1;AGAP2;FOXO6;PIK3R3;PIK3R2;FOXO4;PIK3R1;FOXO3;NLK;STK4;FOXO1;GABARAP;CCNB2;CCNB1;BCL2L11;PCK1;PLK4;SMAD2;PLK3;TGFB2;CREBBP;SMAD4;TGFB1;SMAD3;HOMER1;TGFB3;HOMER2;GADD45A;INSR;PLK2;PLK1;BRAF;IGF1;FBXO32;IL6;G6PC3;BCL6;CDK2;MDM2;GRB2;ATM;IL7R;CDKN1A;CDKN1B;SETD7;PTEN;PRKAG1;PIK3CD;FASLG;SLC2A4;PIK3CB;GRM1;IKBKB;HRAS;IL10;CHUK;PDPK1;PRMT1;SIRT1;TGFBR1;TGFBR2;RBL2;PIK3CA;CAT;SGK3;SGK1;SOS1;SOS2;PRKAA1;PRKAA2;EGFR;MAPK9;NRAS;MAPK8;S1PR1;MAPK1;MAPK3;CDKN2B;EGF;BNIP3;STAT3;MAPK14;SOD2;MAPK12;KLF2;MAPK13;MAPK10;MAPK11;CCNG2;KRAS"
"24","Renal cell carcinoma","66/69",3.60440879573109e-10,4.49364197758425e-09,0,0,12.501691714533,271.832948725342,"CDKN1A;ARAF;SLC2A1;PIK3CD;PIK3CB;ETS1;CRKL;FLCN;AKT2;AKT3;AKT1;EP300;RAC1;ELOC;HRAS;MAP2K1;MAP2K2;TFE3;GAB1;ARNT;RBX1;PIK3CA;RAPGEF1;RAF1;SOS1;SOS2;MET;CRK;FH;EPAS1;PRCC;CUL2;PDGFB;PIK3R3;TGFA;PIK3R2;PIK3R1;HIF1A;RAP1B;CDC42;NRAS;PAK1;RAP1A;PAK6;MAPK1;VHL;PAK3;PAK2;PAK5;PAK4;MAPK3;EGLN1;ARNT2;TGFB2;JUN;CREBBP;EGLN3;TGFB1;EGLN2;TGFB3;BAD;PTPN11;BRAF;VEGFA;KRAS;GRB2"
"25","Human cytomegalovirus infection","186/225",3.64743667011709e-10,4.49364197758425e-09,0,0,2.72235223669015,59.1616859112684,"RB1;ATF2;CALML6;CALML3;CALML4;ELK1;TNF;CRKL;TBK1;CCND1;CREB3L1;MYC;AKT2;CREB3L2;AKT3;AKT1;PRKACA;B2M;PRKACB;IL6R;PDIA3;PDGFRA;MAP2K1;MAP2K2;IL1R1;PRKCB;HLA-B;TAP2;HLA-C;TAP1;PRKCA;TSC1;HLA-A;HLA-F;HLA-G;HLA-E;ADCY9;RAF1;TP53;ATF4;PXN;ITPR1;PIK3R3;ITPR2;PIK3R2;ITPR3;PIK3R1;PPP3R1;PPP3R2;EIF4EBP1;RIPK1;FADD;MAP2K6;CCR1;NFATC3;NFATC2;GNG12;GNG11;PTK2;NFKB1;NFKBIA;GNAO1;IL6;CXCL12;CDK6;RHEB;SP1;CDK4;GNB2;GNAQ;GNB1;GNAS;GNB4;MDM2;GNB3;CYCS;CALM3;GRB2;CALR;GNB5;CALM1;CALM2;GSK3B;CDKN1A;CXCL8;TRADD;ITGB3;CGAS;PIK3CD;FASLG;PIK3CB;CX3CL1;IKBKB;CASP9;PPP3CA;AKAP13;PPP3CB;PPP3CC;CASP8;CASP3;RAC2;RAC3;ITGAV;RAC1;IKBKG;CCR5;HRAS;JAK1;ARHGEF11;ARHGEF12;CHUK;TRAF2;RHOA;TNFRSF1A;TAPBP;CREB1;PIK3CA;IRF3;IL1B;TRAF5;ARHGEF1;PLCB1;SOS1;SOS2;CRK;CREB5;ROCK1;ATF6B;ROCK2;SRC;PTGER2;PTGER3;GNAI3;ADCY3;CXCR4;ADCY2;ADCY1;PTGS2;ADCY7;ADCY6;GNAI1;RELA;EGFR;ADCY5;GNAI2;GNA13;NRAS;GNG3;GNG2;GNG5;GNG4;GNG7;GNA11;CCL5;CXCR2;GNA12;CCL4;E2F1;CCL3;GNG8;E2F2;PTK2B;CCL2;MAPK1;E2F3;BAK1;BID;MAPK3;IL10RB;CDKN2A;IFNB1;IL10RA;STAT3;MAPK14;MAPK12;MTOR;VEGFA;MAPK13;MAPK11;RPS6KB1;RPS6KB2;CTNNB1;FAS;BAX;KRAS;BCAR1"
"26","Axon guidance","153/181",5.08623181215848e-10,6.02522845440313e-09,0,0,3.11570783439346,66.6740093005475,"SEMA5A;DPYSL5;DPYSL2;CFL2;CFL1;PLXNC1;EPHB2;EPHB4;PDK1;EPHA5;SEMA6B;EPHA4;SEMA6C;EPHA7;EPHA6;SEMA6A;UNC5A;UNC5B;SEMA6D;WNT5A;PRKCA;UNC5C;MYL5;SMO;PARD3;EPHA1;RAF1;MYL9;EPHA2;SEMA7A;PIK3R3;PIK3R2;PIK3R1;EFNA5;PRKCZ;MYL12A;MYL12B;EFNB2;EFNB1;PPP3R1;PPP3R2;RRAS;PLXNA2;ABL1;PLCG2;PLXNA1;PLCG1;SRGAP3;SRGAP2;LRRC4C;SRGAP1;PLXNA4;PLXNA3;WNT4;NTNG1;FZD3;PTCH1;NFATC3;NFATC2;L1CAM;SSH2;SSH3;BMP7;PTK2;GDF7;SSH1;EFNA1;EFNA3;CXCL12;EFNA2;PLXNB2;PLXNB1;BMPR1B;ITGB1;ROBO2;GSK3B;NRP1;ROBO3;BMPR2;LRRC4;ILK;PIK3CD;PIK3CB;RND1;ROBO1;PPP3CA;PPP3CB;SHH;PPP3CC;BOC;RAC2;NCK2;RAC3;RAC1;HRAS;NEO1;NCK1;TRPC5;ARHGEF12;TRPC3;TRPC4;DCC;TRPC1;RHOA;RGMA;ENAH;PIK3CA;RASA1;MET;CAMK2D;ROCK1;SEMA3C;ROCK2;SRC;SEMA3D;SEMA3B;CAMK2A;NTN4;SEMA3G;GNAI3;PARD6G;CXCR4;SEMA3E;SEMA3F;NTN1;GNAI1;GNAI2;CDC42;NRAS;ABLIM1;PARD6B;PAK1;SLIT1;PAK6;MAPK1;SLIT3;FYN;SLIT2;PAK3;PAK2;CAMK2G;PAK5;PAK4;MAPK3;SEMA4A;SEMA4D;RYK;SEMA4B;SEMA4C;LIMK1;PTPN11;SEMA4G;KRAS"
